Question	Rationale	Label
Did the 23rd amendment give Puerto Ricans the right to vote for president?	The 23rd Amendment, which was ratified in 1961, extended the right to vote for president to citizens who live in Washington, D.C. Puerto Rico is a U.S. Territory and its citizens are not allowed to vote for president.	no
Did the 23rd amendment give Puerto Ricans the right to vote for president?	The 23rd Amendment gave citizens of Washington D.C. the right to vote in presidential elections. Puerto Ricans have not historically been granted the right to vote in national elections.	no
Would a sesame seed be mistaken for a wood frog egg?	Sesame seeds are much smaller than wood frog eggs. Wood frog eggs are about 1/4 inch in diameter and sesame seeds are usually about 1.5 millimeters in diameter.	no
Would a sesame seed be mistaken for a wood frog egg?	A wood frog egg is about 1-2 mm in diameter, but a sesame seed is about 3 mm in diameter.	no
Would a sesame seed be mistaken for a wood frog egg?	Wood frog eggs are typically smaller than sesame seeds. Wood frog eggs are also transparent. So they are unlikely to be mistaken for sesame seeds.	no
Would a sesame seed be mistaken for a wood frog egg?	Wood frog eggs are about 2-3 mm in diameter. Sesame seeds are even smaller, around 1-2 mm in diameter. Sesame seeds are much smaller than wood frog eggs, so it is unlikely they would be mistaken for one.	no
Is surfing popular in Des Moines, Iowa?	Des Moines, Iowa is located in the Midwest where there is limited access to oceans or bodies of water suitable for surfing. Because of this, surfing is not a popular sport in the area.	no
Is surfing popular in Des Moines, Iowa?	Des Moines, Iowa is located in the Midwest, an area that does not have many beaches or surfing locations. Surfing is not very popular in the area.	no
Is surfing popular in Des Moines, Iowa?	Des Moines is located in Iowa, which is an inland state, so it does not have any ocean coastline where surfing can be practiced.	no
Is surfing popular in Des Moines, Iowa?	Des Moines, Iowa is situated in the Midwestern United States. It is more than 1,000 miles away from the coast. Surfing is not a popular activity in Des Moines, Iowa.	no
Is surfing popular in Des Moines, Iowa?	Des Moines, Iowa is located far from the ocean and does not have any waves suitable for surfing.	no
Do American teams in National Hockey League outnumber Canadian teams?	The National Hockey League (NHL) is currently composed of 31 teams. Of those teams, 24 are in the United States and 7 are in Canada.	yes
Do American teams in National Hockey League outnumber Canadian teams?	There are currently 31 teams in the National Hockey League. There are 24 teams from the United States and 7 teams from Canada.	yes
Do American teams in National Hockey League outnumber Canadian teams?	There are currently 31 teams in the National Hockey League, out of which 24 are based in the United States and the remaining 7 are based in Canada.	yes
Do American teams in National Hockey League outnumber Canadian teams?	There are 31 teams in the National Hockey League. 24 of those teams are located in the US, while 7 of those teams are located in Canada.	yes
Do American teams in National Hockey League outnumber Canadian teams?	As of 2019, there are 24 teams in the National Hockey League. Of these teams, 7 are from Canada and 17 are from the United States.	yes
Does New York Harbor sit on a craton without volcanic activity?	A craton is a part of the Earth's crust that has remained essentially undisturbed by geological events such as orogeny and erosion for a long period. New York Harbor is located in the eastern United States, which is part of the North American craton. This craton does have volcanic activity, evidenced by the presence of extinct volcanoes in the Appalachian mountain range.	no
Does a bumblebee have to worry about spider veins?	Spider veins are caused by the accumulation of blood in the veins, and are typically found in people. Bumblebees do not have veins, and therefore would not have to worry about spider veins.	no
Does a bumblebee have to worry about spider veins?	Bumblebees do not have veins. Spider veins are a type of vascular disorder that is usually seen in human beings.	no
Does a bumblebee have to worry about spider veins?	Bumblebees do not have veins in their bodies, spiders do.	no
Does a bumblebee have to worry about spider veins?	Bumblebees are insects and have an exoskeleton, so they do not have to worry about spider veins. Spider veins are a condition found in humans and other vertebrate animals.	no
Does a bumblebee have to worry about spider veins?	Bumblebees are not affected by spider veins, as they are insects and spider veins are a medical condition common in humans.	no
Would Carrie Poppy be likely to trust a psychic?	Carrie Poppy is a journalist and skeptic. She is highly unlikely to trust a psychic.	no
Would Carrie Poppy be likely to trust a psychic?	Carrie Poppy is a journalist and skeptic who has discussed her distrust of psychics and the paranormal.	no
Would Carrie Poppy be likely to trust a psychic?	Carrie Poppy is a vocal skeptic of the paranormal and supernatural, and is not likely to trust a psychic.	no
Was San Antonio the site of a major battle in the 19th century?	San Antonio was the site of the Battle of the Alamo in 1836, which was a major battle in the early 19th century.	yes
Was San Antonio the site of a major battle in the 19th century?	San Antonio was the site of the Battle of the Alamo in 1836, one of the most famous battles of the 19th century.	yes
Was San Antonio the site of a major battle in the 19th century?	San Antonio was the site of the Battle of the Alamo in 1836, which was a major battle in the Texas Revolution.	yes
Was San Antonio the site of a major battle in the 19th century?	The Battle of the Alamo took place in San Antonio in 1836. It was one of the major battles of the 19th century.	yes
Was San Antonio the site of a major battle in the 19th century?	San Antonio was the site of the Battle of the Alamo in 1836, a major battle in the Texas Revolution.	yes
Was Krishna skilled at using the bow?	Krishna was an avatar of the god Vishnu and is a very important figure in Hindu mythology. In Hindu mythology, Krishna is believed to be very skilled at using the bow and arrow.	yes
Was Krishna skilled at using the bow?	Krishna is the Hindu deity revered as the eighth avatar of Vishnu. He was known for being an excellent archer and a great warrior.	yes
Was Krishna skilled at using the bow?	In Hindu mythology, Krishna is known as the God of Protection. He was known to be incredibly skilled at archery and wielding a bow.	yes
Was Krishna skilled at using the bow?	According to Hindu mythology, Krishna is the 8th incarnation of Lord Vishnu and he is known for his skills in archery.	yes
Was Krishna skilled at using the bow?	Krishna is a major Hindu deity and is believed to be an avatar of Vishnu and is mentioned in the Mahabharata. He is described as a skilled archer and is often depicted wielding a bow.	yes
Should you ask a neighbor for candy on New Year's Eve?	Asking a neighbor for candy on New Year's Eve is not a customary practice and would be considered rude and intrusive.	no
Should you ask a neighbor for candy on New Year's Eve?	Asking a neighbor for candy on New Year's Eve is not a common practice and most likely would be viewed as rude and intrusive.	no
Should you ask a neighbor for candy on New Year's Eve?	Asking a neighbor for candy on New Year's Eve is not recommended, as it is often considered to be rude and disruptive.	no
Could Christopher Walken enlist in the United States Marine Corps?	Christopher Walken is 73 years old. The maximum age for new recruits to the United States Marine Corps is 28.	no
Could Christopher Walken enlist in the United States Marine Corps?	Christopher Walken is an actor and is 73 years old currently. The USMC's current recruitment age is between 18 and 33 years old.	no
Could Christopher Walken enlist in the United States Marine Corps?	Christopher Walken is 72 years old. The maximum age to join the United States Marine Corps is 28.	no
Could Christopher Walken enlist in the United States Marine Corps?	Christopher Walken is 72 years old, and the minimum age to join the United States Marine Corps is 17.	no
Could Christopher Walken enlist in the United States Marine Corps?	Christopher Walken is currently 74 years old. The minimum age requirement to enlist in the United States Marine Corps is 18 years old.	no
Does open heart surgery finish before entirety of American Ballet Theatre's Swan Lake?	Open heart surgery usually lasts between 2 to 4 hours. The entirety of American Ballet Theatre’s Swan Lake is typically around 2 hours and 30 minutes.	no
Does open heart surgery finish before entirety of American Ballet Theatre's Swan Lake?	American Ballet Theatre's Swan Lake is a full-length ballet that runs an average of 1.5 hours. Open heart surgery can last from 4 to 8 hours depending on the type of surgery.	no
Does open heart surgery finish before entirety of American Ballet Theatre's Swan Lake?	The American Ballet Theatre's Swan Lake is an hour and 45 minutes long. Open heart surgery typically takes around 4-6 hours.	no
Was The Little Prince's titular character allergic to flowers?	The Little Prince is a beloved novella that follows the extraordinary journey of the eponymous character. There is no evidence that the titular character is allergic to flowers.	no
Was The Little Prince's titular character allergic to flowers?	The Little Prince's titular character is not allergic to flowers. In the book, he was portrayed to enjoy the beauty of flowers and their smell.	no
Was The Little Prince's titular character allergic to flowers?	The Little Prince's titular character was not allergic to flowers. He was captivated by them, and he even kept a flower with him throughout his journey.	no
Was The Little Prince's titular character allergic to flowers?	The Little Prince is a novella written by Antoine de Saint-Exupéry. In the novella, there is no mention of the titular character having any allergies, let alone being allergic to flowers.	no
Was The Little Prince's titular character allergic to flowers?	The Little Prince has never explicitly stated to be allergic to flowers.	no
Is CAS number 8009-03-8 harmful for a rash?	CAS number 8009-03-8 is the Chemical Abstracts Service number for an aloe vera extract. Aloe vera is known to help soothe rashes.	no
Is CAS number 8009-03-8 harmful for a rash?	CAS number 8009-03-8 is the chemical name for olive oil, which is a natural product and is not generally known to cause a rash.	no
Is CAS number 8009-03-8 harmful for a rash?	CAS numbers are used to identify chemical substances. 8009-03-8 is associated with Doxorubicin Hydrochloride Liposome, which is an anti-cancer drug. It is not typically used to treat rashes.	no
Is CAS number 8009-03-8 harmful for a rash?	CAS number 8009-03-8 is the Chemical Abstract System (CAS) number for olive oil, which is generally considered to be safe and unlikely to cause a rash.	no
Did Bill Nye vote for Franklin Delano Roosevelt?	Bill Nye was born in 1955, and Franklin Delano Roosevelt was president from 1933-1945.	no
Did Bill Nye vote for Franklin Delano Roosevelt?	Franklin Delano Roosevelt was elected in 1932 and Bill Nye was born in 1955.	no
Did Bill Nye vote for Franklin Delano Roosevelt?	Franklin Delano Roosevelt served as president from 1933 to 1945. Bill Nye was born in 1955 and would have been too young to vote for FDR.	no
Did Bill Nye vote for Franklin Delano Roosevelt?	Franklin Delano Roosevelt was a president of the United States from 1933-1945. Bill Nye was born in 1955.	no
Did Bill Nye vote for Franklin Delano Roosevelt?	Franklin Delano Roosevelt was the president of the United States from 1933 to 1945. Bill Nye was born in 1955.	no
Would the chef at Carmine's restaurant panic if there was no basil?	Carmine's restaurant is an Italian restaurant, so basil is a common ingredient used in Italian cuisine. If basil wasn't available, the chef might panic since it is usually an essential ingredient.	yes
Would the chef at Carmine's restaurant panic if there was no basil?	Basil is a common herb used in many dishes, including Italian cuisine. It is likely the chef at Carmine's restaurant would panic if there was no basil, as it would affect the dishes cooked at the restaurant.	yes
Would the chef at Carmine's restaurant panic if there was no basil?	Carmine's restaurant specializes in a variety of Italian food, which typically includes basil. If the restaurant was running kind of low on basil, the chef might panic because basil is a key ingredient in most Italian dishes.	yes
Did the Pearl Harbor attack occur during autumn?	The attack on Pearl Harbor occurred on December 7, 1941. December is the last month of autumn.	yes
Would keelhauling be a fair punishment under the Eighth Amendment?	The eighth amendment of the United States Constitution forbids cruel and unusual punishment. Keelhauling is an especially brutal form of punishment, involving dragging a person underwater by ropes.	no
Would keelhauling be a fair punishment under the Eighth Amendment?	The Eighth Amendment of the United States Constitution prohibits cruel and unusual punishment. Keelhauling is a form of physical torture, and is clearly cruel and unusual.	no
Would keelhauling be a fair punishment under the Eighth Amendment?	The Eighth Amendment of the United States Constitution prohibits cruel and unusual punishments. Keelhauling is a form of harsh punishment that often inflicts severe physical harm and mental trauma. As such, it would not be considered a fair punishment under the Eighth Amendment.	no
Would keelhauling be a fair punishment under the Eighth Amendment?	The Eighth Amendment of the United States Constitution prohibits cruel and unusual punishment, making keelhauling an illegal and unfair punishment.	no
Would keelhauling be a fair punishment under the Eighth Amendment?	The Eighth Amendment prohibits cruel and unusual punishments. Keelhauling is considered a cruel punishment and has been abolished in modern times.	no
Could you windsurf in Puerto Rico during Hurricane Maria?	Windsurfing requires strong winds, but also a safe environment and calm waters. During Hurricane Maria, Puerto Rico experienced very strong winds, high waves, and dangerous flooding.	no
Could you windsurf in Puerto Rico during Hurricane Maria?	Windsurfing in Puerto Rico during a hurricane is not possible due to dangerous wind and large waves.	no
Could you windsurf in Puerto Rico during Hurricane Maria?	Windsurfing is an outdoor activity, and it is not recommended to participate in any outdoor activities during an active hurricane.	no
Could you windsurf in Puerto Rico during Hurricane Maria?	Windsurfing requires strong steady winds, preferably more than 13 knots in order to maintain control and maneuver. Hurricanes usually have winds up to 155 mph, which can be much too strong for windsurfing.	no
Could you windsurf in Puerto Rico during Hurricane Maria?	Windsurfing requires steady, consistent winds with gusts no higher than 25 knots. A hurricane is a strong tropical cyclone characterized by intense winds and rainfall. Wind speeds in a hurricane can reach up to 155 miles per hour.	no
Did Osama bin Laden likely abstain from alcohol?	Osama bin Laden reportedly followed a strict interpretation of Islamic law, which prohibits the consumption of alcohol.	yes
Did Osama bin Laden likely abstain from alcohol?	Osama bin Laden was a Sunni Muslim and the majority or Sunni Muslims abstain from alcohol.	yes
Did Osama bin Laden likely abstain from alcohol?	Osama bin Laden was a Muslim and believed in a strict interpretation of the Islamic sharia law, which prohibits the consumption of alcohol.	yes
Did Osama bin Laden likely abstain from alcohol?	Osama bin Laden was a believer of Islamic faith which strictly forbids alcohol consumption and consumption of any intoxicants.	yes
Did Osama bin Laden likely abstain from alcohol?	Osama bin Laden was known to be a devout Muslim, and consumption of alcohol is prohibited in Islam.	yes
Is the Royal Air Force ensign on the moon?	The Royal Air Force ensign was not a part of the Apollo 11 mission and has not been placed on the moon.	no
Is the Royal Air Force ensign on the moon?	The Royal Air Force Ensign is a flag of the United Kingdom. It has never been on the moon.	no
Is the Royal Air Force ensign on the moon?	The Royal Air Force ensign is a flag flown by members of the Royal Air Force. As of 2019, no one has ever gone to the moon, so it is not possible for this flag to be there.	no
Is the Royal Air Force ensign on the moon?	The Royal Air Force ensign is not on the moon. No flags have been planted on the moon.	no
Is the Royal Air Force ensign on the moon?	The Royal Air Force Ensign has never been taken to the moon during any human spaceflight mission.	no
Does Rupert Murdoch's alma mater have more history than the USA?	Rupert Murdoch graduated from Worcester College, Oxford University in 1951. The United States of America was founded in 1776.	yes
Does Rupert Murdoch's alma mater have more history than the USA?	Rupert Murdoch's alma mater is Worcester College, Oxford which is over 800 years old. The United States of America was founded in 1776, so it is much younger than Worcester College.	yes
Does Rupert Murdoch's alma mater have more history than the USA?	Rupert Murdoch's alma mater is the University of Oxford, founded in 1096. The USA was founded in 1776.	yes
Does Rupert Murdoch's alma mater have more history than the USA?	Rupert Murdoch's alma mater is Oxford University which has around 900 years of history. The USA is a relatively young country at around 243 years old.	yes
Does Rupert Murdoch's alma mater have more history than the USA?	Rupert Murdoch's alma mater is Worcester College at the University of Oxford, which dates back to 1283. The United States of America was founded in 1776.	yes
Did Clark Gable appear in any movies scored by John Williams?	Clark Gable appeared in over 60 films in his lifetime, most famously "Gone With the Wind". John Williams has scored over100 movies, but none of them featured Clark Gable.	no
Did Clark Gable appear in any movies scored by John Williams?	John Williams has composed the scores for many popular films including the Star Wars franchise, Indiana Jones, and E.T. However, Clark Gable never appeared in any movies scored by John Williams.	no
Did Clark Gable appear in any movies scored by John Williams?	Clark Gable appeared in over seventy films during his career. John Williams has composed the scores for over 150 films. However, there are no films that are known to have featured both Clark Gable and a score by John Williams.	no
Did Clark Gable appear in any movies scored by John Williams?	Clark Gable appeared in the 1932 movie "Red Dust". John Williams did not score this movie.	no
Did Clark Gable appear in any movies scored by John Williams?	Clark Gable appeared in 135 different movies, but none of them were scored by John Williams.	no
Do shrimp taste best when cooked for a long time?	The cooking time for shrimp depends on the size of the shrimp and the cooking method. Generally, shrimp should only be cooked for a few minutes in order to preserve their flavour and texture.	no
Do shrimp taste best when cooked for a long time?	It depends on the type of shrimp and the dish it is being prepared for. Generally, shrimp needs to be cooked for a short amount of time, as it can become rubbery if cooked for too long.	no
Do shrimp taste best when cooked for a long time?	Shrimp are often cooked quickly, as they can become rubbery when cooked for too long. In general, shrimp are usually cooked for only a few minutes.	no
Do shrimp taste best when cooked for a long time?	Shrimp are typically best when cooked quickly, usually no more than 2-3 minutes. If they are cooked for too long, they become tough and rubbery.	no
Do shrimp taste best when cooked for a long time?	Shrimp can be cooked for a short time or a long time, depending on how they are prepared. Generally speaking, shrimp taste best when cooked until they are just done, which can be about 2-3 minutes.	no
Was Land of Israel in possession of an Islamic empire in 16th century?	The Land of Israel was under the control of the Ottoman Empire, an Islamic empire, from 1517 until 1918.	yes
Was Land of Israel in possession of an Islamic empire in 16th century?	The Land of Israel was under the rule of the Ottoman Empire, a Sunni Islamic Caliphate, from 1516 to 1917.	yes
Was Land of Israel in possession of an Islamic empire in 16th century?	The Land of Israel was part of the Ottoman Empire in the 16th century, which is an Islamic empire.	yes
Was Land of Israel in possession of an Islamic empire in 16th century?	The Land of Israel was in possession of an Islamic empire from the 7th century until the British Mandate of Palestine in 1917.	yes
Was Land of Israel in possession of an Islamic empire in 16th century?	The Land of Israel was conquered by the Ottoman Empire in 1517 CE. The Ottoman Empire was an Islamic empire.	yes
Would Firefighters be included in a September 11th memorial?	Firefighters were among the many heroes who sacrificed their lives in the wake of the September 11th attacks. They are nearly always included in any memorials that are constructed in memory of those who lost their lives on September 11th.	yes
Would Firefighters be included in a September 11th memorial?	Firefighters were some of the first responders to the tragedy of the September 11th attacks and were heavily involved in the rescue efforts. Firefighters are remembered and honored in memorials for the September 11th attacks.	yes
Would Firefighters be included in a September 11th memorial?	Firefighters were among those who were killed in the September 11th attack. Many memorials and monuments for September 11th have been erected to honor the memories of those who died.	yes
Would Firefighters be included in a September 11th memorial?	Firefighters were heroes who made the ultimate sacrifice during the September 11th attacks. Firefighters are often included in memorials and ceremonies for September 11th.	yes
Can you use the T-Mobile tuesdays app if you aren't a T-Mobile customer?	T-Mobile Tuesdays is only available to T-Mobile customers.	no
Can you use the T-Mobile tuesdays app if you aren't a T-Mobile customer?	The T-Mobile Tuesdays app is offered exclusively to T-Mobile customers.	no
Can you use the T-Mobile tuesdays app if you aren't a T-Mobile customer?	The T-Mobile Tuesdays app is a rewards program offered by T-Mobile. To be eligible, you must be a T-Mobile customer.	no
Will silicon wedding rings outsell bromine wedding rings?	Silicon has a relatively low cost and bromine has a relatively high cost. Therefore, silicon wedding rings are more likely to outsell bromine wedding rings.	yes
Will silicon wedding rings outsell bromine wedding rings?	Silicon is a naturally occurring element, whereas bromine is not. Silicon wedding rings are much more common than bromine wedding rings and are much more likely to be sold.	yes
Will silicon wedding rings outsell bromine wedding rings?	Silicon is a very common element and is commonly used in many products, including wedding rings. Bromine is not as commonly used in products and is not used as much as silicon.	yes
Will silicon wedding rings outsell bromine wedding rings?	Silicon is commonly used in the production of wedding rings, as it is strong and lightweight. Bromine is not commonly used in the production of wedding rings, as it is toxic and corrosive.	yes
Will silicon wedding rings outsell bromine wedding rings?	Silicon is a much more abundant material than bromine, and is also much more affordable. Additionally, silicon wedding rings are more durable and tend to be better-looking than bromine.	yes
Did Helen Keller ever read a novel by J. K. Rowling?	Helen Keller died in 1968, while J. K. Rowling's first novel was not published until 1997.	no
Did Helen Keller ever read a novel by J. K. Rowling?	Helen Keller lived from 1880-1968, which was before the publication of books by J. K. Rowling.	no
Did Helen Keller ever read a novel by J. K. Rowling?	J.K. Rowling is an author best known for her Harry Potter series, which was first published in 1997. Helen Keller lived from 1880 - 1968, so it is unlikely that she ever read a novel by J.K. Rowling.	no
Did Helen Keller ever read a novel by J. K. Rowling?	Helen Keller was alive from 1880-1968. J.K. Rowling published her first novel in 1997.	no
Did Helen Keller ever read a novel by J. K. Rowling?	Helen Keller died in 1968 while J. K. Rowling published her first novel in 1997.	no
Could a Hwasong-15 missile hypothetically reach Voyager 2?	The Hwasong-15 missile has a range of about 8,000 miles. Voyager 2 is currently located around 11.7 billion miles away from Earth.	no
Could a Hwasong-15 missile hypothetically reach Voyager 2?	The Hwasong-15 missile has a range of 8,000km. Voyager 2 is more than 11 billion kilometers away from Earth.	no
Could a Hwasong-15 missile hypothetically reach Voyager 2?	The Hwasong-15 is an intercontinental ballistic missile developed by North Korea, capable of reaching targets up to 13,000 km away. Voyager 2 is a spacecraft launched in 1977 that has reached a distance of over 18 billion km from Earth.	no
Could a Hwasong-15 missile hypothetically reach Voyager 2?	The Hwasong-15 missile has a maximum range of 8,000 kilometers, while Voyager 2 is currently located at about 19,000,000,000 kilometers away.	no
Could a Hwasong-15 missile hypothetically reach Voyager 2?	The Hwasong-15 is an intercontinental ballistic missile created by North Korea. Voyager 2 was launched in 1977 and is now around 18 billion kilometers away from Earth. The Hwasong-15 missile has a maximum range of around 10,400 km.	no
Would Felicity Huffman vote for Mike DeWine?	Felicity Huffman is a registered Democrat, while Mike DeWine is a Republican.	no
Can paresthesia be caused by a white pigment?	Paresthesia is a condition caused by damage to the nerves or irritation of the nerve endings. A white pigment, such as titanium dioxide, can cause irritation and inflammation, which can lead to paresthesia in some cases.	yes
Can I find my home with latitude and longitude?	Latitude and longitude are coordinates that are used to pinpoint exact locations on the Earth's surface. If you know the coordinates of your home, then yes, you can use them to find your home.	yes
Can I find my home with latitude and longitude?	Yes, you can find your home or any other location on earth by using latitude and longitude coordinates. Latitude and longitude can be used to accurately pinpoint any location on the earth's surface.	yes
Can I find my home with latitude and longitude?	Latitude and longitude can be used to locate a specific geographic location on a globe. If you know your specific latitude and longitude, then it is possible to find your home with that information.	yes
Can I find my home with latitude and longitude?	Latitude and longitude are geographical coordinates that can be used to pinpoint an exact location on the Earth's surface. It is possible to use precise latitude and longitude coordinates to identify your home.	yes
Can I find my home with latitude and longitude?	Latitude and longitude are coordinates that help pinpoint a location on a map. With the right tools, you can use latitude and longitude to find a specific address or location.	yes
Is it normal to blow out candles during a funeral?	Funerals are usually somber occasions and blowing out candles would not be normal or appropriate behavior.	no
Is it normal to blow out candles during a funeral?	A funeral is a solemn event and it is not a normal practice to blow out candles during a funeral.	no
Is it normal to blow out candles during a funeral?	Funerals usually involve somber and solemn activities and blowing out candles is typically not associated with a funeral.	no
Is it normal to blow out candles during a funeral?	Funeral ceremonies are not typically associated with activities such as blowing out candles.	no
Is it normal to blow out candles during a funeral?	Funerals are traditionally a sad occasion and a time of mourning. It is not common nor normal to blow out candles during a funeral.	no
Is snoring a sign of good breathing while sleeping?	Snoring is not a sign of good breathing while sleeping. It is usually a sign of poor breathing or airway blockage. It can be caused by a variety of issues such as allergies, colds, or even sleep apnea.	no
Is snoring a sign of good breathing while sleeping?	Snoring is not a sign of good breathing while sleeping. It is an audible symptom of disruption in sleep breathing.	no
Is snoring a sign of good breathing while sleeping?	Snoring is generally caused by a blockage or narrowing of the airway, which can be indicative of poor breathing while sleeping.	no
Is snoring a sign of good breathing while sleeping?	Snoring is usually a sign of poor breathing while sleeping, as snoring is caused by obstructed airflow.	no
Does the cuisine of Hawaii embrace foods considered gross in the continental US?	Traditional cuisines of Hawaii include dishes such as poi (taro root), raw fish, and squid luau. These foods are sometimes considered gross in the continental US.	yes
Does the cuisine of Hawaii embrace foods considered gross in the continental US?	Hawaiian cuisine includes dishes such as Poke, which is raw fish, and Laulau, which is a pork dish cooked in Ti leaves. The continental United States does not embrace raw fish or pork cooked in Ti leaves as these are considered gross in the continental US.	yes
Does the cuisine of Hawaii embrace foods considered gross in the continental US?	Hawaiian cuisine does embrace foods considered gross in the continental US, such as poi, taro, and sea urchin.	yes
Does the cuisine of Hawaii embrace foods considered gross in the continental US?	The cuisine of Hawaii has a number of dishes that may be considered strange or gross in the continental US. These include dishes like fermented fish, squid dishes, poi, and more.	yes
