Question	Rationale	Label
Randal isn't as strong as Jake, but does like to show off. After Jake throws a football, Randal throws one, too. What likely happened? (A) Randal's football goes farther than Jake's (B) Randal's football doesn't go as far as Jake's	When someone is not as strong, they cannot throw something as far. Thus, Randal's football does not go as far as Jake's.	(B)
Randal isn't as strong as Jake, but does like to show off. After Jake throws a football, Randal throws one, too. What likely happened? (A) Randal's football goes farther than Jake's (B) Randal's football doesn't go as far as Jake's	When someone is weaker, it is harder to throw something as far. Thus, Randal's football likely did not go as far as Jake's.	(B)
Randal isn't as strong as Jake, but does like to show off. After Jake throws a football, Randal throws one, too. What likely happened? (A) Randal's football goes farther than Jake's (B) Randal's football doesn't go as far as Jake's	When someone is not as strong, it is harder to throw something as far as someone who is stronger. Thus, Randal's football likely did not go as far as Jake's.	(B)
Randal isn't as strong as Jake, but does like to show off. After Jake throws a football, Randal throws one, too. What likely happened? (A) Randal's football goes farther than Jake's (B) Randal's football doesn't go as far as Jake's	It is likely that Randal's football does not go as far as Jake's because he is not as strong. Thus, Randal's football does not go as far as Jake's.	(B)
Randal isn't as strong as Jake, but does like to show off. After Jake throws a football, Randal throws one, too. What likely happened? (A) Randal's football goes farther than Jake's (B) Randal's football doesn't go as far as Jake's	When someone is stronger, it is easier for them to throw farther. Thus, since Randal isn't as strong, Randal's football doesn't go as far as Jake's.	(B)
Tom held a single chopstick with both his hands and was able to snap it with little problem. He then tried to do the same with twenty, but was unable to break them. The single chopstick snapped because it was _____ then the bundle of twenty. (A) stronger (B) weaker	When something is weaker, it is easier to break. Thus, the single chopstick snapped because it was weaker than the bundle of twenty.	(B)
Tom held a single chopstick with both his hands and was able to snap it with little problem. He then tried to do the same with twenty, but was unable to break them. The single chopstick snapped because it was _____ then the bundle of twenty. (A) stronger (B) weaker	When something is weaker, it is easier to break. Thus, the single chopstick snapped because it was weaker than the bundle of twenty.	(B)
Tom held a single chopstick with both his hands and was able to snap it with little problem. He then tried to do the same with twenty, but was unable to break them. The single chopstick snapped because it was _____ then the bundle of twenty. (A) stronger (B) weaker	When something is weaker, it is easier to break. Thus, the single chopstick snapped because it was weaker than the bundle of twenty.	(B)
Tom held a single chopstick with both his hands and was able to snap it with little problem. He then tried to do the same with twenty, but was unable to break them. The single chopstick snapped because it was _____ then the bundle of twenty. (A) stronger (B) weaker	When something is weaker, it is easier to break. Thus, the single chopstick snapped because it was weaker than the bundle of twenty.	(B)
Tom held a single chopstick with both his hands and was able to snap it with little problem. He then tried to do the same with twenty, but was unable to break them. The single chopstick snapped because it was _____ then the bundle of twenty. (A) stronger (B) weaker	When something is weaker, it is easier to break. Thus, the single chopstick snapped because it was weaker than the bundle of twenty.	(B)
Penelope kicks the ball along the grass surface of a soccer field, then later she kicks it with the same force along an artificial turf field. The ball rolls for a longer time on the artificial turf than it does on the grass, which is due to the more smooth surface of the (A) artificial turf (B) grass.	When something has a smoother surface, it is easier to slide on. Thus, the ball rolled for a longer time on the artificial turf because it is smoother.	(A)
Penelope kicks the ball along the grass surface of a soccer field, then later she kicks it with the same force along an artificial turf field. The ball rolls for a longer time on the artificial turf than it does on the grass, which is due to the more smooth surface of the (A) artificial turf (B) grass.	When something is smoother, it is easier to slide on. Thus, the ball rolls for a longer time on the artificial turf than on the grass due to the more smooth surface of the artificial turf.	(A)
Penelope kicks the ball along the grass surface of a soccer field, then later she kicks it with the same force along an artificial turf field. The ball rolls for a longer time on the artificial turf than it does on the grass, which is due to the more smooth surface of the (A) artificial turf (B) grass.	When something is smoother, it is easier to slide on. Thus, the ball rolls longer on the artificial turf than it does on the grass due to the more smooth surface of the artificial turf.	(A)
Penelope kicks the ball along the grass surface of a soccer field, then later she kicks it with the same force along an artificial turf field. The ball rolls for a longer time on the artificial turf than it does on the grass, which is due to the more smooth surface of the (A) artificial turf (B) grass.	When something is smoother, it is easier for an object to slide across it. Thus, the ball rolls for a longer time on the artificial turf because it has a more smooth surface.	(A)
Penelope kicks the ball along the grass surface of a soccer field, then later she kicks it with the same force along an artificial turf field. The ball rolls for a longer time on the artificial turf than it does on the grass, which is due to the more smooth surface of the (A) artificial turf (B) grass.	When something is smoother, it is easier to slide on. Thus, the ball rolls for a longer time on the artificial turf than it does on the grass due to the more smooth surface of the artificial turf.	(A)
Kevin figured out that his spatula heats up much less when sliding it over a countertop than when sliding it over a frying pan. Sliding his spatula over _____ will force it to move slower (A) countertop (B) frying pan	When something is more rough, it causes more friction and leads to slower sliding. Thus, sliding his spatula over the frying pan will force it to move slower.	(B)
Jeremy has found that his tricycle moves faster on the sidewalk than the grass. This is because the sidewalk has (A) more resistance (B) less resistance	When something has less resistance, it is easier to move. Thus, Jeremy's tricycle moves faster on the sidewalk because it has less resistance.	(B)
Jeremy has found that his tricycle moves faster on the sidewalk than the grass. This is because the sidewalk has (A) more resistance (B) less resistance	When something has less resistance, it is easier to move. Thus, the tricycle moves faster on the sidewalk because it has less resistance.	(B)
Jeremy has found that his tricycle moves faster on the sidewalk than the grass. This is because the sidewalk has (A) more resistance (B) less resistance	When something has less resistance, it is easier to move. Thus, the tricycle moves faster on the sidewalk because it has less resistance.	(B)
Jeremy has found that his tricycle moves faster on the sidewalk than the grass. This is because the sidewalk has (A) more resistance (B) less resistance	When something has less resistance, it is easier to move. Thus, the tricycle moves faster on the sidewalk because it has less resistance.	(B)
Jeremy has found that his tricycle moves faster on the sidewalk than the grass. This is because the sidewalk has (A) more resistance (B) less resistance	When something has less resistance, it is easier to move on. Thus, the tricycle moves faster on the sidewalk because it has less resistance.	(B)
Chad is deciding which planet has more mass. He looks at enormous Jupiter and tiny Pluto. The planet that has more mass is (A) Jupiter (B) Pluto	Mass is the amount of matter an object contains. Jupiter is much larger than Pluto, therefore it has more mass.	(A)
Chad is deciding which planet has more mass. He looks at enormous Jupiter and tiny Pluto. The planet that has more mass is (A) Jupiter (B) Pluto	When something is bigger, it suggests that it has more mass. Thus, the planet with more mass is Jupiter.	(A)
Chad is deciding which planet has more mass. He looks at enormous Jupiter and tiny Pluto. The planet that has more mass is (A) Jupiter (B) Pluto	Mass is related to the size of an object. Jupiter is much larger than Pluto, so it has more mass. Thus, the planet that has more mass is Jupiter.	(A)
Chad is deciding which planet has more mass. He looks at enormous Jupiter and tiny Pluto. The planet that has more mass is (A) Jupiter (B) Pluto	Mass is determined by the amount of matter an object has. Jupiter is much larger in size than Pluto. Thus, it has more mass than Pluto.	(A)
Chad is deciding which planet has more mass. He looks at enormous Jupiter and tiny Pluto. The planet that has more mass is (A) Jupiter (B) Pluto	Mass is determined by size and density. Since Jupiter is much larger than Pluto, it has more mass.	(A)
Jimbo knows that his marble has a lesser mass then his rock. This means the (A) marble (B) rock has stronger gravity	Gravitational force is dependent on mass. Thus, the rock has a stronger gravity because it has a greater mass.	(B)
Jimbo knows that his marble has a lesser mass then his rock. This means the (A) marble (B) rock has stronger gravity	When something has more mass, it has stronger gravity. The rock has more mass since it is heavier than the marble. Thus, the rock has stronger gravity.	(B)
Jimbo knows that his marble has a lesser mass then his rock. This means the (A) marble (B) rock has stronger gravity	Mass is a measure of how much matter is in an object. The more mass an object has, the stronger its gravity will be. Thus, the rock has stronger gravity because it has more mass.	(B)
Kate figured out that her plate is smoother than her sandpaper by rolling a coin across the two surfaces. She also determined that the _____ has less resistance (A) sandpaper (B) plate	When something has less resistance, it is easier to slide. Thus, the plate has less resistance and it is easier to roll the coin across it.	(B)
Kate figured out that her plate is smoother than her sandpaper by rolling a coin across the two surfaces. She also determined that the _____ has less resistance (A) sandpaper (B) plate	When something has less resistance, it is easier to slide on it. Thus, the plate has less resistance than the sandpaper.	(B)
Kate figured out that her plate is smoother than her sandpaper by rolling a coin across the two surfaces. She also determined that the _____ has less resistance (A) sandpaper (B) plate	When something has less resistance, it is easier to slide. Thus, she determined that the plate has less resistance.	(B)
Kate figured out that her plate is smoother than her sandpaper by rolling a coin across the two surfaces. She also determined that the _____ has less resistance (A) sandpaper (B) plate	When something has less resistance, it is easier to slide on. She determined that the plate had less resistance when she rolled a coin across it. Thus, the plate has less resistance.	(B)
Kate figured out that her plate is smoother than her sandpaper by rolling a coin across the two surfaces. She also determined that the _____ has less resistance (A) sandpaper (B) plate	When something has less resistance, it is easier to slide on. Thus, the plate has less resistance.	(B)
Milo was rowing across a lake one day. He learned that his oar heated up a considerable amount when rowing through choppy water, but not so much when rowing through calm water. This made him realize that his oar moved slower through the (A) choppy water or (B) calm water	When something is choppy, there is more resistance, making it hard to move faster. Thus, his oar moved slower through the choppy water.	(A)
Milo was rowing across a lake one day. He learned that his oar heated up a considerable amount when rowing through choppy water, but not so much when rowing through calm water. This made him realize that his oar moved slower through the (A) choppy water or (B) calm water	When something has more resistance, it moves slower. Choppy water has more resistance than calm water. Thus, his oar moved slower through the choppy water.	(A)
Milo was rowing across a lake one day. He learned that his oar heated up a considerable amount when rowing through choppy water, but not so much when rowing through calm water. This made him realize that his oar moved slower through the (A) choppy water or (B) calm water	When something has more resistance, it moves slower. The choppy water has more resistance than the calm water. Thus, his oar moved slower through the choppy water.	(A)
Milo was rowing across a lake one day. He learned that his oar heated up a considerable amount when rowing through choppy water, but not so much when rowing through calm water. This made him realize that his oar moved slower through the (A) choppy water or (B) calm water	When something has more resistance, it is harder to move. Thus, his oar moved slower through the choppy water because it has more resistance.	(A)
Milo was rowing across a lake one day. He learned that his oar heated up a considerable amount when rowing through choppy water, but not so much when rowing through calm water. This made him realize that his oar moved slower through the (A) choppy water or (B) calm water	When something has more resistance, it is harder to move. Choppy water has more resistance than calm water. Thus, his oar moved slower through the choppy water.	(A)
A car will drive smoother on a paved road than a cobblestone path. That is because the tires create _____ against the paved road compared to the cobblestone path. (A) high friction (B) low friction	When something has less friction, it is easier to move. Thus, the tires create less friction against the paved road compared to the cobblestone path.	(B)
A car will drive smoother on a paved road than a cobblestone path. That is because the tires create _____ against the paved road compared to the cobblestone path. (A) high friction (B) low friction	When something has low friction, it is easier to slide on. Thus, the tires create low friction against the paved road compared to the cobblestone path.	(B)
A car will drive smoother on a paved road than a cobblestone path. That is because the tires create _____ against the paved road compared to the cobblestone path. (A) high friction (B) low friction	When something has low friction, it is smoother. Thus, the tires create low friction against the paved road compared to the cobblestone path.	(B)
A car will drive smoother on a paved road than a cobblestone path. That is because the tires create _____ against the paved road compared to the cobblestone path. (A) high friction (B) low friction	When something has lower friction, it is easier to move. Thus, the tires create lower friction against the paved road compared to the cobblestone path.	(B)
A car will drive smoother on a paved road than a cobblestone path. That is because the tires create _____ against the paved road compared to the cobblestone path. (A) high friction (B) low friction	When something has low friction, it is easier to move on it. Thus, the car will drive smoother on the paved road because the tires create low friction against the paved road compared to the cobblestone path.	(B)
As Bob got closer to the street lamp he noticed that it got _____ than when he was far away (A) brighter (B) dimmer	When something is closer, it appears brighter. Thus, the street lamp got brighter when Bob got closer to it.	(A)
As Bob got closer to the street lamp he noticed that it got _____ than when he was far away (A) brighter (B) dimmer	When something is closer, it looks brighter. Thus, as Bob got closer to the street lamp it got brighter.	(A)
As Bob got closer to the street lamp he noticed that it got _____ than when he was far away (A) brighter (B) dimmer	When something is closer, it gets brighter. Thus, the street lamp got brighter when Bob got closer to it.	(A)
As Bob got closer to the street lamp he noticed that it got _____ than when he was far away (A) brighter (B) dimmer	When something is closer, it looks brighter. Thus, the street lamp got brighter when he got closer to it.	(A)
As Bob got closer to the street lamp he noticed that it got _____ than when he was far away (A) brighter (B) dimmer	When something is closer, it appears brighter. Thus, the street lamp got brighter as Bob got closer to it.	(A)
Greg and Lisa both live 2 miles from the library. Greg takes off on foot. Lisa uses a scooter. Who gets there first? (A) Greg (B) Lisa	When something is faster, it takes less time to get somewhere. Lisa is using a scooter which is faster than walking, so Lisa will get there first.	(B)
Greg and Lisa both live 2 miles from the library. Greg takes off on foot. Lisa uses a scooter. Who gets there first? (A) Greg (B) Lisa	When something is faster, it gets to a place sooner. Thus, Lisa gets there first because the scooter is faster than walking.	(B)
Greg and Lisa both live 2 miles from the library. Greg takes off on foot. Lisa uses a scooter. Who gets there first? (A) Greg (B) Lisa	When something is faster, it requires less time to travel the same distance. Thus, Lisa will get there first because the scooter is faster than Greg walking.	(B)
Greg and Lisa both live 2 miles from the library. Greg takes off on foot. Lisa uses a scooter. Who gets there first? (A) Greg (B) Lisa	When something moves faster, it will get there sooner. Thus, Lisa gets there first because a scooter moves faster than walking.	(B)
Greg and Lisa both live 2 miles from the library. Greg takes off on foot. Lisa uses a scooter. Who gets there first? (A) Greg (B) Lisa	Scooters are faster than walking. Thus, Lisa would get there first because she used a scooter.	(B)
A man's boat is about to sink, so he throws his food and boxes of stuff overboard. At which point would his boat be faster? (A) Before the stuff is thrown overboard (B) After the stuff is thrown overboard.	When something has less weight, it is easier to move. Thus, the boat would be faster after the stuff is thrown overboard because it is lighter.	(B)
A man's boat is about to sink, so he throws his food and boxes of stuff overboard. At which point would his boat be faster? (A) Before the stuff is thrown overboard (B) After the stuff is thrown overboard.	When something is less weighted down, it will be faster. Thus, his boat would be faster after the stuff is thrown overboard as it is no longer weighted down.	(B)
A man's boat is about to sink, so he throws his food and boxes of stuff overboard. At which point would his boat be faster? (A) Before the stuff is thrown overboard (B) After the stuff is thrown overboard.	When something is lighter, it is easier to move. The boat would be lighter after the stuff has been thrown overboard, so it would be faster.	(B)
A man's boat is about to sink, so he throws his food and boxes of stuff overboard. At which point would his boat be faster? (A) Before the stuff is thrown overboard (B) After the stuff is thrown overboard.	When something has less weight, it will move faster. Therefore, the boat would be faster after the stuff is thrown overboard because it will have less weight.	(B)
A man's boat is about to sink, so he throws his food and boxes of stuff overboard. At which point would his boat be faster? (A) Before the stuff is thrown overboard (B) After the stuff is thrown overboard.	When something is lighter, it is faster. Thus, his boat would be faster after the stuff is thrown overboard because it is lighter.	(B)
Jean rolls her ball across the wood floor inside onto the dirt floor outside. The ball rolls faster on the wood floor because it has (A) more friction (B) less friction.	When something has less friction, it is easier to roll. Thus, the ball rolls faster on the wood floor because it has less friction.	(B)
Jean rolls her ball across the wood floor inside onto the dirt floor outside. The ball rolls faster on the wood floor because it has (A) more friction (B) less friction.	When something has less friction, it is easier to slide on. Thus, the ball rolled faster on the wood floor because it had less friction.	(B)
Jean rolls her ball across the wood floor inside onto the dirt floor outside. The ball rolls faster on the wood floor because it has (A) more friction (B) less friction.	When something has less friction, it is easier to slide on. Thus, the ball rolls faster on the wood floor because it has less friction.	(B)
Jean rolls her ball across the wood floor inside onto the dirt floor outside. The ball rolls faster on the wood floor because it has (A) more friction (B) less friction.	When something has less friction, it is easier to slide. Thus, the ball rolls faster on the wood floor because it has less friction.	(B)
Jean rolls her ball across the wood floor inside onto the dirt floor outside. The ball rolls faster on the wood floor because it has (A) more friction (B) less friction.	When something has less friction, it is easier to move. Thus, the ball rolls faster on the wood floor because it has less friction.	(B)
I tried to bend a piece of paper, and it folded in half without and tears, when I tried to fold glass it began to crack, that is because glass is _____ than paper. (A) more flexible (B) less flexible	When something is less flexible, it is harder to bend without breaking. Thus, glass is less flexible than paper and likely to crack when bent.	(B)
I tried to bend a piece of paper, and it folded in half without and tears, when I tried to fold glass it began to crack, that is because glass is _____ than paper. (A) more flexible (B) less flexible	When something is less flexible, it is harder to bend. Thus, glass is less flexible than paper.	(B)
I tried to bend a piece of paper, and it folded in half without and tears, when I tried to fold glass it began to crack, that is because glass is _____ than paper. (A) more flexible (B) less flexible	When something is less flexible, it is harder to bend without cracking. Thus, glass is less flexible than paper.	(B)
I tried to bend a piece of paper, and it folded in half without and tears, when I tried to fold glass it began to crack, that is because glass is _____ than paper. (A) more flexible (B) less flexible	When something is less flexible, it is harder to bend and more likely to break. Thus, glass is less flexible than paper.	(B)
I tried to bend a piece of paper, and it folded in half without and tears, when I tried to fold glass it began to crack, that is because glass is _____ than paper. (A) more flexible (B) less flexible	When something is less flexible, it is harder to bend. Thus, glass is less flexible than paper.	(B)
A man punches a tire and a wood board for a demonstration. The board if very stiff. Which object do you think is more likely to break? (A) Tire (B) Wood Board	When something is stiff it is harder to break. Thus, the wood board is more likely to break because it is stiff.	(B)
A man punches a tire and a wood board for a demonstration. The board if very stiff. Which object do you think is more likely to break? (A) Tire (B) Wood Board	When something is stiffer, it is more likely to break. The wood board is very stiff. Thus, it is more likely to break.	(B)
A man punches a tire and a wood board for a demonstration. The board if very stiff. Which object do you think is more likely to break? (A) Tire (B) Wood Board	When something is more stiff, it is harder to break. Thus, the wood board is more likely to break because it is stiffer.	(B)
A man punches a tire and a wood board for a demonstration. The board if very stiff. Which object do you think is more likely to break? (A) Tire (B) Wood Board	When something is stiff, it is more likely to break. Thus, the wood board is more likely to break because it is stiffer.	(B)
A man punches a tire and a wood board for a demonstration. The board if very stiff. Which object do you think is more likely to break? (A) Tire (B) Wood Board	The wood board is stiffer and thus has more resistance. It is more likely to break than the tire.	(B)
The baby chimp swung super fast through the oak trees, until he reached a palm tree and had to slow down. The oak tree was (A) more smooth (B) less smooth	When something is smoother, it is easier to slide on. Thus, the oak tree was more smooth and allowed him to swing faster.	(A)
The baby chimp swung super fast through the oak trees, until he reached a palm tree and had to slow down. The oak tree was (A) more smooth (B) less smooth	When something is smoother, it is easier to slide on. Thus, the oak tree was more smooth, so the baby chimp could swing faster.	(A)
The baby chimp swung super fast through the oak trees, until he reached a palm tree and had to slow down. The oak tree was (A) more smooth (B) less smooth	When something is smoother, it is easier to slide on. Thus, the oak tree was more smooth, so he was able to swing faster.	(A)
The baby chimp swung super fast through the oak trees, until he reached a palm tree and had to slow down. The oak tree was (A) more smooth (B) less smooth	When something is more smooth, it is easier to swing. Thus, the baby chimp could swing faster through the oak trees because it was more smooth.	(A)
The baby chimp swung super fast through the oak trees, until he reached a palm tree and had to slow down. The oak tree was (A) more smooth (B) less smooth	When something is smoother, it is easier to slide on. Thus, the oak tree was more smooth and the baby chimp was able to swing faster through it.	(A)
Milo realized that jungle is rougher than grass. He then realized that his machete would experience more resistance cutting through (A) jungle or (B) grass	When something has more resistance, it is harder to cut through. Thus, his machete would experience more resistance cutting through jungle.	(A)
Milo realized that jungle is rougher than grass. He then realized that his machete would experience more resistance cutting through (A) jungle or (B) grass	When something is rougher, it has more resistance. Thus, the machete would experience more resistance cutting through jungle.	(A)
Milo realized that jungle is rougher than grass. He then realized that his machete would experience more resistance cutting through (A) jungle or (B) grass	When something has more resistance, it is harder to cut through. Thus, Milo's machete would experience more resistance cutting through jungle.	(A)
Milo realized that jungle is rougher than grass. He then realized that his machete would experience more resistance cutting through (A) jungle or (B) grass	When something has more resistance, it is harder to cut through. Thus, his machete would experience more resistance cutting through jungle.	(A)
Milo realized that jungle is rougher than grass. He then realized that his machete would experience more resistance cutting through (A) jungle or (B) grass	When something is rougher, it is harder to cut through. Thus, his machete would experience more resistance cutting through jungle.	(A)
Jax drops a roll of toilet paper on the floor. The toilet paper rolls onto the carpet and slowly comes to a stop. When he later drops the same roll of toilet paper on a wood floor, the roll of toilet paper keeps rolling out of the room. The roll of toilet paper went a greater distance on the wood floor because it had (A) more friction (B) less friction.	When something has less friction, it is easier to slide on. Thus, the roll of toilet paper went a greater distance on the wood floor because it had less friction.	(B)
Jax drops a roll of toilet paper on the floor. The toilet paper rolls onto the carpet and slowly comes to a stop. When he later drops the same roll of toilet paper on a wood floor, the roll of toilet paper keeps rolling out of the room. The roll of toilet paper went a greater distance on the wood floor because it had (A) more friction (B) less friction.	When something has less friction, it is easier to move. Thus, the roll of toilet paper went a greater distance on the wood floor because it had less friction.	(B)
Jax drops a roll of toilet paper on the floor. The toilet paper rolls onto the carpet and slowly comes to a stop. When he later drops the same roll of toilet paper on a wood floor, the roll of toilet paper keeps rolling out of the room. The roll of toilet paper went a greater distance on the wood floor because it had (A) more friction (B) less friction.	When something has less friction, it does not stop as quickly. Thus, the roll of toilet paper went a greater distance on the wood floor because it had less friction.	(B)
Jax drops a roll of toilet paper on the floor. The toilet paper rolls onto the carpet and slowly comes to a stop. When he later drops the same roll of toilet paper on a wood floor, the roll of toilet paper keeps rolling out of the room. The roll of toilet paper went a greater distance on the wood floor because it had (A) more friction (B) less friction.	When something has less friction, it is easier to slide. Thus, the roll of toilet paper went a greater distance on the wood floor because it had less friction.	(B)
Jax drops a roll of toilet paper on the floor. The toilet paper rolls onto the carpet and slowly comes to a stop. When he later drops the same roll of toilet paper on a wood floor, the roll of toilet paper keeps rolling out of the room. The roll of toilet paper went a greater distance on the wood floor because it had (A) more friction (B) less friction.	When something has less friction, it is easier to slide on. Thus, the roll of toilet paper went a greater distance on the wood floor because it had less friction.	(B)
